"Name & Version:","Name & Version:"
"Compatibility:","Compatibility:"
"Documentation & Installation","Documentation & Installation"
"Read the installation manual & user guide to help you with the installation and configuration.","Read the installation manual & user guide to help you with the installation and configuration."
"Download User Guide","Download User Guide"
"Matrix Ordering installation & user guide","Matrix Ordering installation & user guide"
"Support & Questions?","Support & Questions?"
"Visit our %s for more info.","Visit our %s for more info."
"Contact Support","Contact Support"
"About B2B Extensions","About B2B Extensions"
"B2B Extensions is a product of %s","B2B Extensions is a product of %s"
"Do you have Feedback or improvements?","Do you have Feedback or improvements?"
"Please e-mail us your feedback","Please e-mail us your feedback"
"Manage Matrix Attributes","Manage Matrix Attributes"
"Save mappings","Save mappings"
"Attribute sets","Attribute sets"
"Order one","Order one"
"Order multiple","Order multiple"
"First attribute:","First attribute:"
"Second attribute:","Second attribute:"
"Third attribute:","Third attribute:"
"Vertical attribute:","Vertical attribute:"
"Horizontal attribute:","Horizontal attribute:"
"Select different attributes as First, Horizontal and Vertical for %s attrbute set.","Select different attributes as First, Horizontal and Vertical for %s attrbute set."
"Select different attributes as First, Second and Third for %s attrbute set.","Select different attributes as First, Second and Third for %s attrbute set."
"Configurable attributes per set have been saved.","Configurable attributes per set have been saved."
"Order One","Order One"
"Order Multiple","Order Multiple"
"QUANTITY","QUANTITY"
"Add to cart","Add to cart"
"Loading...","Loading..."
"Please select a first attribute.","Please select a first attribute."
"Please select a second attribute.","Please select a second attribute."
"Please select a third attribute.","Please select a third attribute."
"Invalid input for quantity. Please insert positive number.","Invalid input for quantity. Please insert positive number."
"We are sorry, your requested quantity can not be calculated at this moment.","We are sorry, your requested quantity can not be calculated at this moment."
"We are sorry, your requested quantity is not in stock. Only %s are available at this time.","We are sorry, your requested quantity is not in stock. Only %s are available at this time."
"There are %s products in stock, %s products will be placed in backorder.","There are %s products in stock, %s products will be placed in backorder."
"We are sorry, this product can not be added to the cart at this moment.","We are sorry, this product can not be added to the cart at this moment."
"Item was successfully added to the cart.","Item was successfully added to the cart."
"Please specify quantites.","Please specify quantites."
"%s item(s) were successfully added to the cart.","%s item(s) were successfully added to the cart."
"Flush Swatch Images Cache","Flush Swatch Images Cache"
"Pregenerated product images files.","Pregenerated product images files."
"The configurable swatches image cache was cleaned.","The configurable swatches image cache was cleaned."
"An error occurred while clearing the configurable swatches image cache.","An error occurred while clearing the configurable swatches image cache."
