"Delete","Delete"
"Add Option","Add Option"
"Attribute Information","Attribute Information"
"Properties","Properties"
"Manage Label / Options","Manage Label / Options"
"Manage Description","Manage Description"
"Delete Option","Delete Option"
"Tips","Tips"
"Attribute Description Popup","Attribute Description Popup"
"Attribute Description Tooltip","Attribute Description Tooltip"
"Activate Description Tooltip","Activate Description Tooltip"
"Layered Nav & Product Page","Layered Nav & Product Page"
"Layered Nav","Layered Nav"
"Product Page","Product Page"
"None","None"
"Yes","Yes"
"No","No"
"Auto North/South","Auto North/South"
"Auto West/East","Auto West/East"
"North-West","North-West"
"North","North"
"North-East","North-East"
"West","West"
"East","East"
"South-West","South-West"
"South","South"
"South-East","South-East"
"Attribute with the same code","Attribute with the same code"
"Attribute '%s' used in configurable products.","Attribute '%s' used in configurable products."
"Frontend label is not defined","Frontend label is not defined"
"Default option value is not defined","Default option value is not defined"
"Title","Title"
"Input Type","Input Type"
"Is Required","Is Required"
"Sort Order","Sort Order"
"Description","Description"
"Select type of option","Select type of option"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Shop by","Shop by"
"Shopping Options","Shopping Options"
"This is a required option","This is a required option"
"Allowed file extensions to upload","Allowed file extensions to upload"
"Maximum image width","Maximum image width"
"px.","px."
"Maximum image height","Maximum image height"
"Maximum number of characters","Maximum number of characters"
